model_id,model_dir,corpus_id,packet_id,status,validation_errors,disposition,requested_expertise,confidence,serious_error_flags,output_file
gemma3:4b,gemma3_4b,dreaddit,PKT_6c56b341ee459337,schema_warning,serious_error_flags_invalid,revise,none,3,unsupported_evidence;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/gemma3_4b/PKT_6c56b341ee459337.json
gemma3:4b,gemma3_4b,dreaddit,PKT_92e5baabaca5dbc0,schema_warning,serious_error_flags_invalid,revise,none,4,unsupported_evidence;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/gemma3_4b/PKT_92e5baabaca5dbc0.json
gemma3:4b,gemma3_4b,dreaddit,PKT_a37f7ff165967e18,schema_warning,serious_error_flags_invalid,revise,none,3,unsupported_evidence;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/gemma3_4b/PKT_a37f7ff165967e18.json
gemma3:4b,gemma3_4b,dreaddit,PKT_c4eae72db76207c1,schema_warning,serious_error_flags_invalid,revise,none,3,unsupported_evidence;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/gemma3_4b/PKT_c4eae72db76207c1.json
gemma3:4b,gemma3_4b,dreaddit,PKT_d73907af2cf8e3e1,schema_warning,serious_error_flags_invalid,revise,none,4,unsupported_evidence;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/gemma3_4b/PKT_d73907af2cf8e3e1.json
llama3.1:8b,llama3_1_8b,dreaddit,PKT_6c56b341ee459337,valid,,accept,none,4,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/llama3_1_8b/PKT_6c56b341ee459337.json
llama3.1:8b,llama3_1_8b,dreaddit,PKT_92e5baabaca5dbc0,schema_warning,serious_error_flags_invalid,revise,none,4,unsupported_evidence,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/llama3_1_8b/PKT_92e5baabaca5dbc0.json
llama3.1:8b,llama3_1_8b,dreaddit,PKT_a37f7ff165967e18,valid,,accept,none,5,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/llama3_1_8b/PKT_a37f7ff165967e18.json
llama3.1:8b,llama3_1_8b,dreaddit,PKT_c4eae72db76207c1,valid,,accept,none,4,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/llama3_1_8b/PKT_c4eae72db76207c1.json
llama3.1:8b,llama3_1_8b,dreaddit,PKT_d73907af2cf8e3e1,valid,,revise,none,4,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/llama3_1_8b/PKT_d73907af2cf8e3e1.json
qwen3:8b,qwen3_8b,dreaddit,PKT_6c56b341ee459337,schema_warning,cannot_judge_invalid,accept,none,5,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/qwen3_8b/PKT_6c56b341ee459337.json
qwen3:8b,qwen3_8b,dreaddit,PKT_92e5baabaca5dbc0,schema_warning,cannot_judge_invalid,accept,none,5,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/qwen3_8b/PKT_92e5baabaca5dbc0.json
qwen3:8b,qwen3_8b,dreaddit,PKT_a37f7ff165967e18,schema_warning,cannot_judge_invalid,revise,none,4,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/qwen3_8b/PKT_a37f7ff165967e18.json
qwen3:8b,qwen3_8b,dreaddit,PKT_c4eae72db76207c1,schema_warning,cannot_judge_invalid,revise,none,4,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/qwen3_8b/PKT_c4eae72db76207c1.json
qwen3:8b,qwen3_8b,dreaddit,PKT_d73907af2cf8e3e1,schema_warning,cannot_judge_invalid,revise,none,4,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/draftpkt_20260901T052834Z/reviewer_outputs/generalist/qwen3_8b/PKT_d73907af2cf8e3e1.json
