Dataset,Method,Model,TP/N,Recall (%) ↑
GoEmotion,Generalist,Qwen3 8B,73/100,"73.0 [63.6, 80.7]"
,,Llama 3.1 8B,56/100,"56.0 [46.2, 65.3]"
,,Gemma 3 4B,61/100,"61.0 [51.2, 70.0]"
,Fixed role,Qwen3 8B,84/100,"84.0 [75.6, 89.9]"
,,Llama 3.1 8B,56/100,"56.0 [46.2, 65.3]"
,,Gemma 3 4B,79/100,"79.0 [70.0, 85.8]"
,All roles,Qwen3 8B,91/100,"91.0 [83.8, 95.2]"
,,Llama 3.1 8B,76/100,"76.0 [66.8, 83.3]"
,,Gemma 3 4B,80/100,"80.0 [71.1, 86.7]"
,WarrantRoute,Qwen3 8B,83/100,"83.0 [74.5, 89.1]"
,,Llama 3.1 8B,45/100,"45.0 [35.6, 54.8]"
,,Gemma 3 4B,69/100,"69.0 [59.4, 77.2]"
