policy_id,model_id,route,n,share
working_warrantgate_v0,gemma3:4b,generalist,16,0.16
working_warrantgate_v0,gemma3:4b,qualitative_methods,29,0.29
working_warrantgate_v0,gemma3:4b,domain,14,0.14
working_warrantgate_v0,gemma3:4b,both,41,0.41
working_warrantgate_v0,llama3.1:8b,generalist,60,0.6
working_warrantgate_v0,llama3.1:8b,qualitative_methods,7,0.07
working_warrantgate_v0,llama3.1:8b,domain,33,0.33
working_warrantgate_v0,llama3.1:8b,both,0,0.0
working_warrantgate_v0,qwen3:8b,generalist,2,0.02
working_warrantgate_v0,qwen3:8b,qualitative_methods,78,0.78
working_warrantgate_v0,qwen3:8b,domain,11,0.11
working_warrantgate_v0,qwen3:8b,both,9,0.09
