timestamp_utc,run_id,corpus_id,stage_n,event,role,model,target_n,existing_n,missing_n,completed_n,note
2026-09-02T02:49:32.710308Z,dreaddit_dev580_working_v1,dreaddit,100,stage_start,,,100,,,,
2026-09-02T02:49:32.711037Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.711608Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.712171Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,generalist,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.713064Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,qualitative_methods,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.713707Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,qualitative_methods,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.714338Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,qualitative_methods,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.715115Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,domain,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.715730Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,domain,llama3.1:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.716290Z,dreaddit_dev580_working_v1,dreaddit,100,role_model_skip_complete,domain,gemma3:4b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.716395Z,dreaddit_dev580_working_v1,dreaddit,100,quality_judge_start,judge,,100,,,,
2026-09-02T02:49:32.716433Z,dreaddit_dev580_working_v1,dreaddit,100,quality_judge_complete,judge,,100,,,,skipped
2026-09-02T02:49:32.717292Z,dreaddit_dev580_working_v1,dreaddit,100,stage_complete,,,100,,,,
2026-09-02T02:49:32.920439Z,goemotions_train_all_working_v1,goemotions,100,stage_start,,,100,,,,
2026-09-02T02:49:32.921173Z,goemotions_train_all_working_v1,goemotions,100,role_model_skip_complete,generalist,qwen3:8b,100,100,0,100,existing_outputs_reused
2026-09-02T02:49:32.921809Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,generalist,llama3.1:8b,100,94,6,94,
2026-09-02T02:49:32.922388Z,goemotions_train_all_working_v1,goemotions,100,role_model_complete,generalist,llama3.1:8b,100,94,6,94,
2026-09-02T02:49:32.922439Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,generalist,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.922543Z,goemotions_train_all_working_v1,goemotions,100,role_model_complete,generalist,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.923133Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,qualitative_methods,qwen3:8b,100,54,46,54,
2026-09-02T02:49:32.923631Z,goemotions_train_all_working_v1,goemotions,100,role_model_complete,qualitative_methods,qwen3:8b,100,54,46,54,
2026-09-02T02:49:32.923679Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,qualitative_methods,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.923777Z,goemotions_train_all_working_v1,goemotions,100,role_model_complete,qualitative_methods,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.923820Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,qualitative_methods,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.923912Z,goemotions_train_all_working_v1,goemotions,100,role_model_complete,qualitative_methods,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.924491Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,domain,qwen3:8b,100,25,75,25,
2026-09-02T02:49:32.925041Z,goemotions_train_all_working_v1,goemotions,100,role_model_complete,domain,qwen3:8b,100,25,75,25,
2026-09-02T02:49:32.925100Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,domain,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.925214Z,goemotions_train_all_working_v1,goemotions,100,role_model_complete,domain,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.925258Z,goemotions_train_all_working_v1,goemotions,100,role_model_start,domain,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.925392Z,goemotions_train_all_working_v1,goemotions,100,role_model_complete,domain,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.925483Z,goemotions_train_all_working_v1,goemotions,100,quality_judge_start,judge,,100,,,,
2026-09-02T02:49:32.925521Z,goemotions_train_all_working_v1,goemotions,100,quality_judge_complete,judge,,100,,,,skipped
2026-09-02T02:49:32.926093Z,goemotions_train_all_working_v1,goemotions,100,stage_complete,,,100,,,,
2026-09-02T02:49:32.945729Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,stage_start,,,100,,,,
2026-09-02T02:49:32.945808Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_start,generalist,qwen3:8b,100,0,100,0,
2026-09-02T02:49:32.946086Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_complete,generalist,qwen3:8b,100,0,100,0,
2026-09-02T02:49:32.946131Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_start,generalist,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.946241Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_complete,generalist,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.946281Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_start,generalist,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.946383Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_complete,generalist,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.946490Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_start,qualitative_methods,qwen3:8b,100,0,100,0,
2026-09-02T02:49:32.946599Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_complete,qualitative_methods,qwen3:8b,100,0,100,0,
2026-09-02T02:49:32.946638Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_start,qualitative_methods,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.946741Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_complete,qualitative_methods,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.946784Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_start,qualitative_methods,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.946922Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_complete,qualitative_methods,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.947030Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_start,domain,qwen3:8b,100,0,100,0,
2026-09-02T02:49:32.947131Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_complete,domain,qwen3:8b,100,0,100,0,
2026-09-02T02:49:32.947170Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_start,domain,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.947268Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_complete,domain,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.947306Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_start,domain,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.947404Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,role_model_complete,domain,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.947506Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,quality_judge_start,judge,,100,,,,
2026-09-02T02:49:32.947540Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,quality_judge_complete,judge,,100,,,,skipped
2026-09-02T02:49:32.948076Z,agyw_focus_groups_eval765_working_v1,agyw_focus_groups,100,stage_complete,,,100,,,,
2026-09-02T02:49:32.954968Z,parlamint_gb_fullsample_eval100_working_v1,parlamint_gb,100,stage_start,,,100,,,,
2026-09-02T02:49:32.955555Z,parlamint_gb_fullsample_eval100_working_v1,parlamint_gb,100,role_model_start,generalist,qwen3:8b,100,60,40,60,
2026-09-02T02:49:32.956257Z,parlamint_gb_fullsample_eval100_working_v1,parlamint_gb,100,role_model_complete,generalist,qwen3:8b,100,60,40,60,
2026-09-02T02:49:32.956305Z,parlamint_gb_fullsample_eval100_working_v1,parlamint_gb,100,role_model_start,generalist,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.956411Z,parlamint_gb_fullsample_eval100_working_v1,parlamint_gb,100,role_model_complete,generalist,llama3.1:8b,100,0,100,0,
2026-09-02T02:49:32.956466Z,parlamint_gb_fullsample_eval100_working_v1,parlamint_gb,100,role_model_start,generalist,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.956565Z,parlamint_gb_fullsample_eval100_working_v1,parlamint_gb,100,role_model_complete,generalist,gemma3:4b,100,0,100,0,
2026-09-02T02:49:32.957157Z,parlamint_gb_fullsample_eval100_working_v1,parlamint_gb,100,role_model_start,qualitative_methods,qwen3:8b,100,50,50,50,
2026-09-02T02:49:32.957806Z,parlamint_gb_fullsample_eval100_working_v1,parlamint_gb,100,role_model_complete,qualitative_methods,qwen3:8b,100,50,50,50,
