Dataset,Method,Model,TP/N,Recall (%) ↑
Dreaddit,Generalist,Qwen3 8B,67/100,"67.0 [57.3, 75.4]"
,,Llama 3.1 8B,16/100,"16.0 [10.1, 24.4]"
,,Gemma 3 4B,73/100,"73.0 [63.6, 80.7]"
,Fixed role,Qwen3 8B,76/100,"76.0 [66.8, 83.3]"
,,Llama 3.1 8B,37/100,"37.0 [28.2, 46.8]"
,,Gemma 3 4B,83/100,"83.0 [74.5, 89.1]"
,All roles,Qwen3 8B,77/100,"77.0 [67.8, 84.2]"
,,Llama 3.1 8B,52/100,"52.0 [42.3, 61.5]"
,,Gemma 3 4B,89/100,"89.0 [81.4, 93.7]"
,WarrantRoute,Qwen3 8B,75/100,"75.0 [65.7, 82.5]"
,,Llama 3.1 8B,14/100,"14.0 [8.5, 22.1]"
,,Gemma 3 4B,76/100,"76.0 [66.8, 83.3]"
GoEmotion,Generalist,Qwen3 8B,73/100,"73.0 [63.6, 80.7]"
,,Llama 3.1 8B,56/100,"56.0 [46.2, 65.3]"
,,Gemma 3 4B,61/100,"61.0 [51.2, 70.0]"
,Fixed role,Qwen3 8B,84/100,"84.0 [75.6, 89.9]"
,,Llama 3.1 8B,56/100,"56.0 [46.2, 65.3]"
,,Gemma 3 4B,79/100,"79.0 [70.0, 85.8]"
,All roles,Qwen3 8B,91/100,"91.0 [83.8, 95.2]"
,,Llama 3.1 8B,76/100,"76.0 [66.8, 83.3]"
,,Gemma 3 4B,80/100,"80.0 [71.1, 86.7]"
,WarrantRoute,Qwen3 8B,83/100,"83.0 [74.5, 89.1]"
,,Llama 3.1 8B,45/100,"45.0 [35.6, 54.8]"
,,Gemma 3 4B,69/100,"69.0 [59.4, 77.2]"
CaChe,Generalist,Qwen3 8B,79/100,"79.0 [70.0, 85.8]"
,,Llama 3.1 8B,27/100,"27.0 [19.3, 36.4]"
,,Gemma 3 4B,57/100,"57.0 [47.2, 66.3]"
,Fixed role,Qwen3 8B,79/100,"79.0 [70.0, 85.8]"
,,Llama 3.1 8B,30/100,"30.0 [21.9, 39.6]"
,,Gemma 3 4B,61/100,"61.0 [51.2, 70.0]"
,All roles,Qwen3 8B,81/100,"81.0 [72.2, 87.5]"
,,Llama 3.1 8B,55/100,"55.0 [45.2, 64.4]"
,,Gemma 3 4B,71/100,"71.0 [61.5, 79.0]"
,WarrantRoute,Qwen3 8B,80/100,"80.0 [71.1, 86.7]"
,,Llama 3.1 8B,11/100,"11.0 [6.3, 18.6]"
,,Gemma 3 4B,55/100,"55.0 [45.2, 64.4]"
ParlaMint-GB,Generalist,Qwen3 8B,71/100,"71.0 [61.5, 79.0]"
,,Llama 3.1 8B,24/100,"24.0 [16.7, 33.2]"
,,Gemma 3 4B,48/100,"48.0 [38.5, 57.7]"
,Fixed role,Qwen3 8B,79/100,"79.0 [70.0, 85.8]"
,,Llama 3.1 8B,36/100,"36.0 [27.3, 45.8]"
,,Gemma 3 4B,67/100,"67.0 [57.3, 75.4]"
,All roles,Qwen3 8B,81/100,"81.0 [72.2, 87.5]"
,,Llama 3.1 8B,52/100,"52.0 [42.3, 61.5]"
,,Gemma 3 4B,69/100,"69.0 [59.4, 77.2]"
,WarrantRoute,Qwen3 8B,72/100,"72.0 [62.5, 79.9]"
,,Llama 3.1 8B,15/100,"15.0 [9.3, 23.3]"
,,Gemma 3 4B,56/100,"56.0 [46.2, 65.3]"
