Dataset,Method,Model,TP/N,Recall (%) ↑,Credibility (%),Conformability (%)
Dreaddit,Generalist,Qwen3 8B,67/100,"67.0 [57.3, 75.4]",90.0,85.0
Dreaddit,Generalist,Llama 3.1 8B,16/100,"16.0 [10.1, 24.4]",72.0,71.0
Dreaddit,Generalist,Gemma 3 4B,73/100,"73.0 [63.6, 80.7]",90.0,88.0
Dreaddit,Fixed role,Qwen3 8B,76/100,"76.0 [66.8, 83.3]",85.0,80.0
Dreaddit,Fixed role,Llama 3.1 8B,24/100,"24.0 [16.7, 33.2]",N/A,N/A
Dreaddit,Fixed role,Gemma 3 4B,83/100,"83.0 [74.5, 89.1]",91.0,88.0
Dreaddit,All roles,Qwen3 8B,77/100,"77.0 [67.8, 84.2]",N/A,N/A
Dreaddit,All roles,Llama 3.1 8B,52/100,"52.0 [42.3, 61.5]",N/A,N/A
Dreaddit,All roles,Gemma 3 4B,89/100,"89.0 [81.4, 93.7]",95.0,91.0
Dreaddit,WarrantRoute,Qwen3 8B,75/100,"75.0 [65.7, 82.5]",N/A,N/A
Dreaddit,WarrantRoute,Llama 3.1 8B,14/100,"14.0 [8.5, 22.1]",N/A,N/A
Dreaddit,WarrantRoute,Gemma 3 4B,76/100,"76.0 [66.8, 83.3]",N/A,N/A
GoEmotion,Generalist,Qwen3 8B,79/100,"79.0 [70.0, 85.8]",N/A,N/A
GoEmotion,Generalist,Llama 3.1 8B,59/100,"59.0 [49.2, 68.1]",52.0,46.0
GoEmotion,Generalist,Gemma 3 4B,61/100,"61.0 [51.2, 70.0]",67.0,58.0
GoEmotion,Fixed role,Qwen3 8B,81/100,"81.0 [72.2, 87.5]",N/A,N/A
GoEmotion,Fixed role,Llama 3.1 8B,37/100,"37.0 [28.2, 46.8]",60.0,58.0
GoEmotion,Fixed role,Gemma 3 4B,79/100,"79.0 [70.0, 85.8]",N/A,N/A
GoEmotion,All roles,Qwen3 8B,91/100,"91.0 [83.8, 95.2]",70.0,53.0
GoEmotion,All roles,Llama 3.1 8B,77/100,"77.0 [67.8, 84.2]",N/A,N/A
GoEmotion,All roles,Gemma 3 4B,80/100,"80.0 [71.1, 86.7]",79.0,60.0
GoEmotion,WarrantRoute,Qwen3 8B,83/100,"83.0 [74.5, 89.1]",N/A,N/A
GoEmotion,WarrantRoute,Llama 3.1 8B,45/100,"45.0 [35.6, 54.8]",N/A,N/A
GoEmotion,WarrantRoute,Gemma 3 4B,69/100,"69.0 [59.4, 77.2]",N/A,N/A
CaChe,Generalist,Qwen3 8B,79/100,"79.0 [70.0, 85.8]",97.0,94.0
CaChe,Generalist,Llama 3.1 8B,27/100,"27.0 [19.3, 36.4]",89.0,87.0
CaChe,Generalist,Gemma 3 4B,57/100,"57.0 [47.2, 66.3]",98.0,97.0
CaChe,Fixed role,Qwen3 8B,76/100,"76.0 [66.8, 83.3]",97.0,96.0
CaChe,Fixed role,Llama 3.1 8B,30/100,"30.0 [21.9, 39.6]",94.0,92.0
CaChe,Fixed role,Gemma 3 4B,61/100,"61.0 [51.2, 70.0]",98.0,98.0
CaChe,All roles,Qwen3 8B,81/100,"81.0 [72.2, 87.5]",100.0,94.0
CaChe,All roles,Llama 3.1 8B,55/100,"55.0 [45.2, 64.4]",N/A,N/A
CaChe,All roles,Gemma 3 4B,71/100,"71.0 [61.5, 79.0]",100.0,99.0
CaChe,WarrantRoute,Qwen3 8B,80/100,"80.0 [71.1, 86.7]",N/A,N/A
CaChe,WarrantRoute,Llama 3.1 8B,11/100,"11.0 [6.3, 18.6]",N/A,N/A
CaChe,WarrantRoute,Gemma 3 4B,55/100,"55.0 [45.2, 64.4]",N/A,N/A
ParlaMint-GB,Generalist,Qwen3 8B,75/100,"75.0 [65.7, 82.5]",94.0,91.0
ParlaMint-GB,Generalist,Llama 3.1 8B,24/100,"24.0 [16.7, 33.2]",89.0,88.0
ParlaMint-GB,Generalist,Gemma 3 4B,48/100,"48.0 [38.5, 57.7]",95.0,93.0
ParlaMint-GB,Fixed role,Qwen3 8B,67/100,"67.0 [57.3, 75.4]",89.0,86.0
ParlaMint-GB,Fixed role,Llama 3.1 8B,36/100,"36.0 [27.3, 45.8]",90.0,89.0
ParlaMint-GB,Fixed role,Gemma 3 4B,67/100,"67.0 [57.3, 75.4]",95.0,91.0
ParlaMint-GB,All roles,Qwen3 8B,81/100,"81.0 [72.2, 87.5]",99.0,89.0
ParlaMint-GB,All roles,Llama 3.1 8B,52/100,"52.0 [42.3, 61.5]",98.0,90.0
ParlaMint-GB,All roles,Gemma 3 4B,69/100,"69.0 [59.4, 77.2]",98.0,91.0
ParlaMint-GB,WarrantRoute,Qwen3 8B,74/100,"74.0 [64.6, 81.6]",N/A,N/A
ParlaMint-GB,WarrantRoute,Llama 3.1 8B,15/100,"15.0 [9.3, 23.3]",N/A,N/A
ParlaMint-GB,WarrantRoute,Gemma 3 4B,56/100,"56.0 [46.2, 65.3]",N/A,N/A
