condition_id,model,dataset,metric_profile_id,evaluation_reference,label_count,accuracy_definition,macro_f1_definition,conformability_definition,phase,method,adaptation_gt,eval_n,repetitions_complete,accuracy_pct,micro_f1_pct,macro_f1_pct,conformability_pct,grounding_resolved_n,delta_metric_id,matched_base_delta_pp,ci_metric_id,ci95,status
dreaddit/baseline/base/gt_not_applicable,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,baseline,base,not_applicable,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
dreaddit/offline/icl/gt_yes,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,offline,icl,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
dreaddit/offline/miprov2/gt_yes,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,offline,miprov2,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
dreaddit/offline/gepa/gt_yes,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,offline,gepa,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
dreaddit/offline/ace/gt_yes,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,offline,ace,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
dreaddit/offline/ace/gt_no,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,offline,ace,no,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
dreaddit/online/dc_cu/gt_yes,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,online,dc_cu,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
dreaddit/online/dc_cu/gt_no,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,online,dc_cu,no,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
dreaddit/online/ace/gt_yes,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,online,ace,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
dreaddit/online/ace/gt_no,UNSELECTED,dreaddit,D-STRESS-v1,released_stress_labels,2,binary_exact_label,fixed_2_class,v2_source_grounding__binary_stress,online,ace,no,100,0/3,PENDING,PENDING,PENDING,PENDING,0,macro_f1,PENDING,macro_f1,PENDING,DESIGN_ONLY
goemotions/baseline/base/gt_not_applicable,UNSELECTED,goemotions,G-EMOTION28-v1,released_emotion_label_sets,28,exact_full_label_set,fixed_28_label,v2_source_grounding__multilabel_emotion,baseline,base,not_applicable,100,0/3,PENDING,PENDING,PENDING,PENDING,0,micro_f1,PENDING,micro_f1,PENDING,DESIGN_ONLY
goemotions/offline/icl/gt_yes,UNSELECTED,goemotions,G-EMOTION28-v1,released_emotion_label_sets,28,exact_full_label_set,fixed_28_label,v2_source_grounding__multilabel_emotion,offline,icl,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,micro_f1,PENDING,micro_f1,PENDING,DESIGN_ONLY
goemotions/offline/miprov2/gt_yes,UNSELECTED,goemotions,G-EMOTION28-v1,released_emotion_label_sets,28,exact_full_label_set,fixed_28_label,v2_source_grounding__multilabel_emotion,offline,miprov2,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,micro_f1,PENDING,micro_f1,PENDING,DESIGN_ONLY
goemotions/offline/gepa/gt_yes,UNSELECTED,goemotions,G-EMOTION28-v1,released_emotion_label_sets,28,exact_full_label_set,fixed_28_label,v2_source_grounding__multilabel_emotion,offline,gepa,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,micro_f1,PENDING,micro_f1,PENDING,DESIGN_ONLY
goemotions/offline/ace/gt_yes,UNSELECTED,goemotions,G-EMOTION28-v1,released_emotion_label_sets,28,exact_full_label_set,fixed_28_label,v2_source_grounding__multilabel_emotion,offline,ace,yes,100,0/3,PENDING,PENDING,PENDING,PENDING,0,micro_f1,PENDING,micro_f1,PENDING,DESIGN_ONLY
