Dataset,Method,Model,TP/N,Recall (%),Credibility (%),Conformability (%),Experiment,Checkpoint,Status,Processed N,Planned N,Credibility binary N,Credibility unresolved N,Credibility technical N,Conformability binary N,Conformability unresolved N,Conformability technical N,Pending N,Quality denominator,Qualification
Dreaddit,ACE-inspired WarrantRoute-Lite,Gemma 3 4B,N/A,N/A,100,100,ACE flaw expansion 20260910,E0,Paused - partial,65,80,24,41,0,60,5,0,15,Resolved binary cases only; excludes unresolved and pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,ACE-inspired WarrantRoute-Lite,Gemma 3 4B,N/A,N/A,100,100,ACE flaw expansion 20260910,E3,Paused - partial,65,80,25,40,0,60,5,0,15,Resolved binary cases only; excludes unresolved and pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotions,ACE-inspired WarrantRoute-Lite,Gemma 3 4B,N/A,N/A,100,100,ACE flaw expansion 20260910,E0,Paused - partial,65,80,9,56,0,64,1,0,15,Resolved binary cases only; excludes unresolved and pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotions,ACE-inspired WarrantRoute-Lite,Gemma 3 4B,N/A,N/A,100,100,ACE flaw expansion 20260910,E3,Paused - partial,64,80,9,55,0,62,2,0,16,Resolved binary cases only; excludes unresolved and pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,ACE-inspired WarrantRoute-Lite,Gemma 3 4B,N/A,N/A,100,100,ACE flaw expansion 20260910,E0,Paused - partial,64,80,26,38,0,59,5,0,16,Resolved binary cases only; excludes unresolved and pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,ACE-inspired WarrantRoute-Lite,Gemma 3 4B,N/A,N/A,100,100,ACE flaw expansion 20260910,E3,Paused - partial,64,80,26,38,0,59,5,0,16,Resolved binary cases only; excludes unresolved and pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,ACE-inspired WarrantRoute-Lite,Gemma 3 4B,N/A,N/A,100,100,ACE flaw expansion 20260910,E0,Paused - partial,64,80,38,26,0,48,16,0,16,Resolved binary cases only; excludes unresolved and pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,ACE-inspired WarrantRoute-Lite,Gemma 3 4B,N/A,N/A,100,100,ACE flaw expansion 20260910,E3,Paused - partial,64,80,37,27,0,46,18,0,16,Resolved binary cases only; excludes unresolved and pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,Generalist,Qwen3 8B,67/100,"67.0 [57.3, 75.4]",90,85,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,Generalist,Llama 3.1 8B,16/100,"16.0 [10.1, 24.4]",72,71,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,Generalist,Gemma 3 4B,73/100,"73.0 [63.6, 80.7]",90,88,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,Fixed role,Qwen3 8B,76/100,"76.0 [66.8, 83.3]",85,80,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,Fixed role,Llama 3.1 8B,24/100,"24.0 [16.7, 33.2]",75,72,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,Fixed role,Gemma 3 4B,83/100,"83.0 [74.5, 89.1]",91,88,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
