method,paper_facing_name,model_id,tp,n,recall,recall_wilson_95_low,recall_wilson_95_high,mean_specialist_acquisitions,mean_total_role_acquisitions,mean_incremental_cost,mean_total_role_cost,route_counts,stop_reason_counts,result_label,manuscript_eligible,dataset,corpus_id,evaluation_mode
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,86,100,0.86,0.7786281178903616,0.9147365634006086,0.6,1.6,0.675,1.675,"{""both"": 30, ""generalist"": 70}","{""both_specialists_acquired"": 30, ""expected_gain_below_threshold"": 70}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,22,100,0.22,0.150012823846054,0.31070353514985793,0.22,1.22,0.2475,1.2475,"{""both"": 11, ""generalist"": 89}","{""both_specialists_acquired"": 11, ""expected_gain_below_threshold"": 89}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,71,100,0.71,0.6146110882442888,0.7898516425087772,0.27,1.27,0.27,1.27,"{""generalist"": 73, ""qualitative_methods"": 27}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,73,100,0.73,0.6356788323205499,0.8073041585042365,0.34,1.34,0.3825,1.3825,"{""both"": 17, ""generalist"": 83}","{""both_specialists_acquired"": 17, ""expected_gain_below_threshold"": 83}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,56,100,0.56,0.4622810465167699,0.6532797336983921,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,75,100,0.75,0.656955364519384,0.8245478863771232,0.02,1.02,0.02,1.02,"{""generalist"": 98, ""qualitative_methods"": 2}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,68,100,0.68,0.5833738138954762,0.7633085267500092,0.66,1.66,0.7425,1.7425,"{""both"": 33, ""generalist"": 67}","{""both_specialists_acquired"": 33, ""expected_gain_below_threshold"": 67}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,27,100,0.27,0.1926958414957634,0.36432116767944994,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,80,100,0.8,0.7111708344068411,0.8666330666689676,0.01,1.01,0.01,1.01,"{""generalist"": 99, ""qualitative_methods"": 1}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,64,100,0.64,0.5423540245160874,0.7272877959859567,0.78,1.78,0.8775,1.8775,"{""both"": 39, ""generalist"": 61}","{""both_specialists_acquired"": 39, ""expected_gain_below_threshold"": 61}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,24,100,0.24,0.16691325556948772,0.33232336349814473,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,73,100,0.73,0.6356788323205499,0.8073041585042365,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
