method,paper_facing_name,model_id,tp,n,recall,recall_wilson_95_low,recall_wilson_95_high,mean_specialist_acquisitions,mean_total_role_acquisitions,mean_incremental_cost,mean_total_role_cost,route_counts,stop_reason_counts,result_label,manuscript_eligible,dataset,corpus_id,evaluation_mode
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,81,100,0.81,0.7222115462093562,0.8748524849023126,0.54,1.54,0.6075,1.6075,"{""both"": 27, ""generalist"": 73}","{""both_specialists_acquired"": 27, ""expected_gain_below_threshold"": 73}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,23,100,0.23,0.15843265880303448,0.3215438302287378,0.26,1.26,0.2925,1.2925,"{""both"": 13, ""generalist"": 87}","{""both_specialists_acquired"": 13, ""expected_gain_below_threshold"": 87}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,73,100,0.73,0.6356788323205499,0.8073041585042365,0.07,1.07,0.07,1.07,"{""generalist"": 93, ""qualitative_methods"": 7}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,61,100,0.61,0.5120301704584073,0.6998312599360558,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,74,100,0.74,0.6462901055081282,0.8159530153525186,0.46,1.46,0.5175,1.5175,"{""both"": 23, ""generalist"": 77}","{""both_specialists_acquired"": 23, ""expected_gain_below_threshold"": 77}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,73,100,0.73,0.6356788323205499,0.8073041585042365,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,57,100,0.57,0.47215389549212305,0.6626670147588988,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,53,100,0.53,0.4328885697009936,0.6248918204065872,1.02,2.02,1.1475,2.1475,"{""both"": 51, ""generalist"": 49}","{""both_specialists_acquired"": 51, ""expected_gain_below_threshold"": 49}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,79,100,0.79,0.7002003116591013,0.858343459380847,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,48,100,0.48,0.384645517580519,0.5768342223477603,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,52,100,0.52,0.4231657776522397,0.615354482419481,1.08,2.08,1.215,2.215,"{""both"": 54, ""generalist"": 46}","{""both_specialists_acquired"": 54, ""expected_gain_below_threshold"": 46}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,73,100,0.73,0.6356788323205499,0.8073041585042365,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
