method,paper_facing_name,model_id,tp,n,recall,recall_wilson_95_low,recall_wilson_95_high,mean_specialist_acquisitions,mean_total_role_acquisitions,mean_incremental_cost,mean_total_role_cost,route_counts,stop_reason_counts,result_label,manuscript_eligible,dataset,corpus_id,evaluation_mode
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,84,100,0.84,0.7557973061072976,0.8990471151119521,0.64,1.64,0.72,1.72,"{""both"": 32, ""generalist"": 68}","{""both_specialists_acquired"": 32, ""expected_gain_below_threshold"": 68}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,16,100,0.16,0.10095288488804782,0.24420269389270244,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,72,100,0.72,0.6251197129007884,0.7986031478881379,0.09,1.09,0.09,1.09,"{""generalist"": 91, ""qualitative_methods"": 9}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,61,100,0.61,0.5120301704584073,0.6998312599360558,0.06,1.06,0.0675,1.0675,"{""both"": 3, ""generalist"": 97}","{""both_specialists_acquired"": 3, ""expected_gain_below_threshold"": 97}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,56,100,0.56,0.4622810465167699,0.6532797336983921,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,82,100,0.82,0.7333264161369926,0.8829977450105364,0.3,1.3,0.3,1.3,"{""generalist"": 70, ""qualitative_methods"": 30}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,67,100,0.67,0.5730534379509052,0.7543687726587197,0.6,1.6,0.675,1.675,"{""both"": 30, ""generalist"": 70}","{""both_specialists_acquired"": 30, ""expected_gain_below_threshold"": 70}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,27,100,0.27,0.1926958414957634,0.36432116767944994,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,80,100,0.8,0.7111708344068411,0.8666330666689676,0.25,1.25,0.25,1.25,"{""generalist"": 75, ""qualitative_methods"": 25}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,gemma3:4b,56,100,0.56,0.4622810465167699,0.6532797336983921,0.32,1.32,0.36,1.36,"{""both"": 16, ""generalist"": 84}","{""both_specialists_acquired"": 16, ""expected_gain_below_threshold"": 84}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,llama3.1:8b,24,100,0.24,0.16691325556948772,0.33232336349814473,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop-CalibratedCascade,WarrantRoute-C,qwen3:8b,75,100,0.75,0.656955364519384,0.8245478863771232,0.23,1.23,0.23,1.23,"{""generalist"": 77, ""qualitative_methods"": 23}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
