dataset,model,method,tp,n,recall,mean_total_role_calls,all_roles_tp_recovered
Dreaddit,Qwen3 8B,Generalist,67,100,0.67,1.0,0.8701298701298701
Dreaddit,Qwen3 8B,Fixed role,76,100,0.76,1.0,0.987012987012987
Dreaddit,Qwen3 8B,All roles,77,100,0.77,3.0,1.0
Dreaddit,Qwen3 8B,WarrantRoute-S,75,100,0.75,1.63,0.974025974025974
Dreaddit,Qwen3 8B,WarrantRoute-Cascade,76,100,0.76,1.63,0.987012987012987
Dreaddit,Llama 3.1 8B,Generalist,16,100,0.16,1.0,0.3076923076923077
Dreaddit,Llama 3.1 8B,Fixed role,37,100,0.37,1.0,0.7115384615384616
Dreaddit,Llama 3.1 8B,All roles,52,100,0.52,3.0,1.0
Dreaddit,Llama 3.1 8B,WarrantRoute-S,35,100,0.35,1.64,0.6730769230769231
Dreaddit,Llama 3.1 8B,WarrantRoute-Cascade,35,100,0.35,1.64,0.6730769230769231
Dreaddit,Gemma 3 4B,Generalist,73,100,0.73,1.0,0.8202247191011236
Dreaddit,Gemma 3 4B,Fixed role,83,100,0.83,1.0,0.9325842696629213
Dreaddit,Gemma 3 4B,All roles,89,100,0.89,3.0,1.0
Dreaddit,Gemma 3 4B,WarrantRoute-S,81,100,0.81,1.38,0.9101123595505618
Dreaddit,Gemma 3 4B,WarrantRoute-Cascade,82,100,0.82,1.38,0.9213483146067416
GoEmotion,Qwen3 8B,Generalist,73,100,0.73,1.0,0.8021978021978022
GoEmotion,Qwen3 8B,Fixed role,84,100,0.84,1.0,0.9230769230769231
GoEmotion,Qwen3 8B,All roles,91,100,0.91,3.0,1.0
GoEmotion,Qwen3 8B,WarrantRoute-S,75,100,0.75,1.02,0.8241758241758241
GoEmotion,Qwen3 8B,WarrantRoute-Cascade,75,100,0.75,1.02,0.8241758241758241
GoEmotion,Llama 3.1 8B,Generalist,56,100,0.56,1.0,0.7368421052631579
GoEmotion,Llama 3.1 8B,Fixed role,56,100,0.56,1.0,0.7368421052631579
GoEmotion,Llama 3.1 8B,All roles,76,100,0.76,3.0,1.0
GoEmotion,Llama 3.1 8B,WarrantRoute-S,71,100,0.71,1.38,0.9342105263157895
GoEmotion,Llama 3.1 8B,WarrantRoute-Cascade,71,100,0.71,1.38,0.9342105263157895
GoEmotion,Gemma 3 4B,Generalist,61,100,0.61,1.0,0.7625
GoEmotion,Gemma 3 4B,Fixed role,79,100,0.79,1.0,0.9875
GoEmotion,Gemma 3 4B,All roles,80,100,0.8,3.0,1.0
GoEmotion,Gemma 3 4B,WarrantRoute-S,73,100,0.73,1.17,0.9125
GoEmotion,Gemma 3 4B,WarrantRoute-Cascade,73,100,0.73,1.17,0.9125
CaChe,Qwen3 8B,Generalist,79,100,0.79,1.0,0.9753086419753086
CaChe,Qwen3 8B,Fixed role,79,100,0.79,1.0,0.9753086419753086
CaChe,Qwen3 8B,All roles,81,100,0.81,3.0,1.0
CaChe,Qwen3 8B,WarrantRoute-S,80,100,0.8,1.01,0.9876543209876543
CaChe,Qwen3 8B,WarrantRoute-Cascade,80,100,0.8,1.01,0.9876543209876543
CaChe,Llama 3.1 8B,Generalist,27,100,0.27,1.0,0.4909090909090909
CaChe,Llama 3.1 8B,Fixed role,30,100,0.3,1.0,0.5454545454545454
CaChe,Llama 3.1 8B,All roles,55,100,0.55,3.0,1.0
CaChe,Llama 3.1 8B,WarrantRoute-S,41,100,0.41,1.73,0.7454545454545455
CaChe,Llama 3.1 8B,WarrantRoute-Cascade,41,100,0.41,1.73,0.7454545454545455
CaChe,Gemma 3 4B,Generalist,57,100,0.57,1.0,0.8028169014084507
CaChe,Gemma 3 4B,Fixed role,61,100,0.61,1.0,0.8591549295774648
CaChe,Gemma 3 4B,All roles,71,100,0.71,3.0,1.0
CaChe,Gemma 3 4B,WarrantRoute-S,65,100,0.65,1.32,0.9154929577464789
CaChe,Gemma 3 4B,WarrantRoute-Cascade,65,100,0.65,1.32,0.9154929577464789
ParlaMint-GB,Qwen3 8B,Generalist,73,100,0.73,1.0,0.9012345679012346
ParlaMint-GB,Qwen3 8B,Fixed role,79,100,0.79,1.0,0.9753086419753086
ParlaMint-GB,Qwen3 8B,All roles,81,100,0.81,3.0,1.0
ParlaMint-GB,Qwen3 8B,WarrantRoute-S,73,100,0.73,1.0,0.9012345679012346
ParlaMint-GB,Qwen3 8B,WarrantRoute-Cascade,73,100,0.73,1.0,0.9012345679012346
ParlaMint-GB,Llama 3.1 8B,Generalist,24,100,0.24,1.0,0.46153846153846156
ParlaMint-GB,Llama 3.1 8B,Fixed role,36,100,0.36,1.0,0.6923076923076923
ParlaMint-GB,Llama 3.1 8B,All roles,52,100,0.52,3.0,1.0
ParlaMint-GB,Llama 3.1 8B,WarrantRoute-S,39,100,0.39,1.73,0.75
ParlaMint-GB,Llama 3.1 8B,WarrantRoute-Cascade,39,100,0.39,1.73,0.75
ParlaMint-GB,Gemma 3 4B,Generalist,48,100,0.48,1.0,0.6956521739130435
ParlaMint-GB,Gemma 3 4B,Fixed role,67,100,0.67,1.0,0.9710144927536232
ParlaMint-GB,Gemma 3 4B,All roles,69,100,0.69,3.0,1.0
ParlaMint-GB,Gemma 3 4B,WarrantRoute-S,62,100,0.62,1.3,0.8985507246376812
ParlaMint-GB,Gemma 3 4B,WarrantRoute-Cascade,63,100,0.63,1.3,0.9130434782608695
