dataset,model,method,internal_variant_id,tp,n,recall,mean_total_role_calls,mean_residual_additions
Dreaddit,Qwen3 8B,Generalist,table3_baseline,67,100,0.67,1.0,0.0
Dreaddit,Qwen3 8B,Fixed role,table3_baseline,76,100,0.76,1.0,0.0
Dreaddit,Qwen3 8B,All roles,table3_baseline,77,100,0.77,3.0,0.0
Dreaddit,Qwen3 8B,WarrantRoute,cumulative_output_v1,76,100,0.76,1.63,0.0
Dreaddit,Qwen3 8B,WarrantRoute,residual_discovery_v1,99,100,0.99,1.63,0.23
Dreaddit,Llama 3.1 8B,Generalist,table3_baseline,16,100,0.16,1.0,0.0
Dreaddit,Llama 3.1 8B,Fixed role,table3_baseline,37,100,0.37,1.0,0.0
Dreaddit,Llama 3.1 8B,All roles,table3_baseline,52,100,0.52,3.0,0.0
Dreaddit,Llama 3.1 8B,WarrantRoute,cumulative_output_v1,35,100,0.35,1.64,0.0
Dreaddit,Llama 3.1 8B,WarrantRoute,residual_discovery_v1,70,100,0.7,1.64,0.35
Dreaddit,Gemma 3 4B,Generalist,table3_baseline,73,100,0.73,1.0,0.0
Dreaddit,Gemma 3 4B,Fixed role,table3_baseline,83,100,0.83,1.0,0.0
Dreaddit,Gemma 3 4B,All roles,table3_baseline,89,100,0.89,3.0,0.0
Dreaddit,Gemma 3 4B,WarrantRoute,cumulative_output_v1,82,100,0.82,1.38,0.0
Dreaddit,Gemma 3 4B,WarrantRoute,residual_discovery_v1,99,100,0.99,1.38,0.17
GoEmotion,Qwen3 8B,Generalist,table3_baseline,73,100,0.73,1.0,0.0
GoEmotion,Qwen3 8B,Fixed role,table3_baseline,84,100,0.84,1.0,0.0
GoEmotion,Qwen3 8B,All roles,table3_baseline,91,100,0.91,3.0,0.0
GoEmotion,Qwen3 8B,WarrantRoute,cumulative_output_v1,75,100,0.75,1.02,0.0
GoEmotion,Qwen3 8B,WarrantRoute,residual_discovery_v1,100,100,1.0,1.02,0.25
GoEmotion,Llama 3.1 8B,Generalist,table3_baseline,56,100,0.56,1.0,0.0
GoEmotion,Llama 3.1 8B,Fixed role,table3_baseline,56,100,0.56,1.0,0.0
GoEmotion,Llama 3.1 8B,All roles,table3_baseline,76,100,0.76,3.0,0.0
GoEmotion,Llama 3.1 8B,WarrantRoute,cumulative_output_v1,71,100,0.71,1.38,0.0
GoEmotion,Llama 3.1 8B,WarrantRoute,residual_discovery_v1,100,100,1.0,1.38,0.29
GoEmotion,Gemma 3 4B,Generalist,table3_baseline,61,100,0.61,1.0,0.0
GoEmotion,Gemma 3 4B,Fixed role,table3_baseline,79,100,0.79,1.0,0.0
GoEmotion,Gemma 3 4B,All roles,table3_baseline,80,100,0.8,3.0,0.0
GoEmotion,Gemma 3 4B,WarrantRoute,cumulative_output_v1,73,100,0.73,1.17,0.0
GoEmotion,Gemma 3 4B,WarrantRoute,residual_discovery_v1,100,100,1.0,1.17,0.27
CaChe,Qwen3 8B,Generalist,table3_baseline,79,100,0.79,1.0,0.0
CaChe,Qwen3 8B,Fixed role,table3_baseline,79,100,0.79,1.0,0.0
CaChe,Qwen3 8B,All roles,table3_baseline,81,100,0.81,3.0,0.0
CaChe,Qwen3 8B,WarrantRoute,cumulative_output_v1,80,100,0.8,1.01,0.0
CaChe,Qwen3 8B,WarrantRoute,residual_discovery_v1,100,100,1.0,1.01,0.2
CaChe,Llama 3.1 8B,Generalist,table3_baseline,27,100,0.27,1.0,0.0
CaChe,Llama 3.1 8B,Fixed role,table3_baseline,30,100,0.3,1.0,0.0
CaChe,Llama 3.1 8B,All roles,table3_baseline,55,100,0.55,3.0,0.0
CaChe,Llama 3.1 8B,WarrantRoute,cumulative_output_v1,41,100,0.41,1.73,0.0
CaChe,Llama 3.1 8B,WarrantRoute,residual_discovery_v1,76,100,0.76,1.73,0.35
CaChe,Gemma 3 4B,Generalist,table3_baseline,57,100,0.57,1.0,0.0
CaChe,Gemma 3 4B,Fixed role,table3_baseline,61,100,0.61,1.0,0.0
CaChe,Gemma 3 4B,All roles,table3_baseline,71,100,0.71,3.0,0.0
CaChe,Gemma 3 4B,WarrantRoute,cumulative_output_v1,65,100,0.65,1.32,0.0
CaChe,Gemma 3 4B,WarrantRoute,residual_discovery_v1,100,100,1.0,1.32,0.35
ParlaMint-GB,Qwen3 8B,Generalist,table3_baseline,73,100,0.73,1.0,0.0
ParlaMint-GB,Qwen3 8B,Fixed role,table3_baseline,79,100,0.79,1.0,0.0
ParlaMint-GB,Qwen3 8B,All roles,table3_baseline,81,100,0.81,3.0,0.0
ParlaMint-GB,Qwen3 8B,WarrantRoute,cumulative_output_v1,73,100,0.73,1.0,0.0
ParlaMint-GB,Qwen3 8B,WarrantRoute,residual_discovery_v1,100,100,1.0,1.0,0.27
ParlaMint-GB,Llama 3.1 8B,Generalist,table3_baseline,24,100,0.24,1.0,0.0
ParlaMint-GB,Llama 3.1 8B,Fixed role,table3_baseline,36,100,0.36,1.0,0.0
ParlaMint-GB,Llama 3.1 8B,All roles,table3_baseline,52,100,0.52,3.0,0.0
ParlaMint-GB,Llama 3.1 8B,WarrantRoute,cumulative_output_v1,39,100,0.39,1.73,0.0
ParlaMint-GB,Llama 3.1 8B,WarrantRoute,residual_discovery_v1,74,100,0.74,1.73,0.35
ParlaMint-GB,Gemma 3 4B,Generalist,table3_baseline,48,100,0.48,1.0,0.0
ParlaMint-GB,Gemma 3 4B,Fixed role,table3_baseline,67,100,0.67,1.0,0.0
ParlaMint-GB,Gemma 3 4B,All roles,table3_baseline,69,100,0.69,3.0,0.0
ParlaMint-GB,Gemma 3 4B,WarrantRoute,cumulative_output_v1,63,100,0.63,1.3,0.0
ParlaMint-GB,Gemma 3 4B,WarrantRoute,residual_discovery_v1,98,100,0.98,1.3,0.35
