method,paper_facing_name,internal_variant_id,dataset,corpus_id,evaluation_mode,model_id,tp_before_residual,tp,tp_recovered_by_residual,n,recall,recall_wilson_95_low,recall_wilson_95_high,mean_specialist_acquisitions,mean_total_role_acquisitions,mean_residual_additions,mean_residual_classifier_calls,result_label,manuscript_eligible
WarrantRoute,WarrantRoute,residual_discovery_v1,Dreaddit,dreaddit,five_fold_out_of_fold_development,gemma3:4b,82,99,17,100,0.99,0.9455138038212946,0.9982325679358593,0.38,1.38,0.17,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,Dreaddit,dreaddit,five_fold_out_of_fold_development,llama3.1:8b,35,70,35,100,0.7,0.6041514536665332,0.7810511470506724,0.64,1.64,0.35,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,Dreaddit,dreaddit,five_fold_out_of_fold_development,qwen3:8b,76,99,23,100,0.99,0.9455138038212946,0.9982325679358593,0.63,1.63,0.23,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,GoEmotion,goemotions,dreaddit_policy_transfer_working,gemma3:4b,73,100,27,100,1.0,0.9630065017930143,1.0,0.17,1.17,0.27,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,GoEmotion,goemotions,dreaddit_policy_transfer_working,llama3.1:8b,71,100,29,100,1.0,0.9630065017930143,1.0,0.38,1.38,0.29,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,GoEmotion,goemotions,dreaddit_policy_transfer_working,qwen3:8b,75,100,25,100,1.0,0.9630065017930143,1.0,0.02,1.02,0.25,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working,gemma3:4b,65,100,35,100,1.0,0.9630065017930143,1.0,0.32,1.32,0.35,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working,llama3.1:8b,41,76,35,100,0.76,0.6676766365018553,0.8330867444305122,0.73,1.73,0.35,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working,qwen3:8b,80,100,20,100,1.0,0.9630065017930143,1.0,0.01,1.01,0.2,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working,gemma3:4b,63,98,35,100,0.98,0.929988209271456,0.9944980324498376,0.3,1.3,0.35,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working,llama3.1:8b,39,74,35,100,0.74,0.6462901055081282,0.8159530153525186,0.73,1.73,0.35,1.0,private_personal_exploratory_not_for_publication,False
WarrantRoute,WarrantRoute,residual_discovery_v1,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working,qwen3:8b,73,100,27,100,1.0,0.9630065017930143,1.0,0.0,1.0,0.27,1.0,private_personal_exploratory_not_for_publication,False
