method,paper_facing_name,internal_variant_id,dataset,corpus_id,evaluation_mode,model_id,tp_before_residual,tp,tp_recovered_by_residual,n,recall,recall_wilson_95_low,recall_wilson_95_high,mean_specialist_acquisitions,mean_total_role_acquisitions,mean_residual_additions,mean_residual_classifier_calls,result_label,manuscript_eligible
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,Dreaddit,dreaddit,five_fold_out_of_fold_development,gemma3:4b,89,100,11,100,1.0,0.9630065017930143,1.0,2.0,3.0,0.11,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,Dreaddit,dreaddit,five_fold_out_of_fold_development,llama3.1:8b,52,87,35,100,0.87,0.7901964855992357,0.9224283257275948,2.0,3.0,0.35,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,Dreaddit,dreaddit,five_fold_out_of_fold_development,qwen3:8b,77,99,22,100,0.99,0.9455138038212946,0.9982325679358593,2.0,3.0,0.22,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,GoEmotion,goemotions,dreaddit_policy_transfer_working,gemma3:4b,80,100,20,100,1.0,0.9630065017930143,1.0,2.0,3.0,0.2,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,GoEmotion,goemotions,dreaddit_policy_transfer_working,llama3.1:8b,76,100,24,100,1.0,0.9630065017930143,1.0,2.0,3.0,0.24,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,GoEmotion,goemotions,dreaddit_policy_transfer_working,qwen3:8b,91,100,9,100,1.0,0.9630065017930143,1.0,2.0,3.0,0.09,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working,gemma3:4b,71,100,29,100,1.0,0.9630065017930143,1.0,2.0,3.0,0.29,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working,llama3.1:8b,55,90,35,100,0.9,0.8256343384950865,0.9447708629393249,2.0,3.0,0.35,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working,qwen3:8b,81,100,19,100,1.0,0.9630065017930143,1.0,2.0,3.0,0.19,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working,gemma3:4b,69,100,31,100,1.0,0.9630065017930143,1.0,2.0,3.0,0.31,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working,llama3.1:8b,52,87,35,100,0.87,0.7901964855992357,0.9224283257275948,2.0,3.0,0.35,1.0,private_personal_exploratory_not_for_publication,False
All roles + matched residual,All roles + matched residual,matched_all_roles_residual_v1,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working,qwen3:8b,81,100,19,100,1.0,0.9630065017930143,1.0,2.0,3.0,0.19,1.0,private_personal_exploratory_not_for_publication,False
