model_id,packet_id,target_flaw,route,detected,specialist_acquisitions,total_role_acquisitions,incremental_cost,stop_reason,private_working_score,manuscript_eligible
gemma3:4b,PKT_000374ae8904b116,counterevidence_loss,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
gemma3:4b,PKT_02fa37b3926f1ee9,contextual_flattening,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
gemma3:4b,PKT_0d75310cb7e660a8,contextual_flattening,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
gemma3:4b,PKT_148310a7a26d58a5,unsupported_evidence,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
gemma3:4b,PKT_186a2a64e1a2ca1d,unsupported_abstraction,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
gemma3:4b,PKT_19696515db5ec8da,unsupported_evidence,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
gemma3:4b,PKT_199c2142456372cd,counterevidence_loss,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
gemma3:4b,PKT_204f2168f98db763,unsupported_abstraction,generalist,False,0,1,0.0,expected_gain_below_threshold,True,False
gemma3:4b,PKT_2b0b2bb8e6e6b39f,source_concentration,generalist,False,0,1,0.0,expected_gain_below_threshold,True,False
gemma3:4b,PKT_32ce9f57605dc6ea,source_concentration,generalist,False,0,1,0.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_000374ae8904b116,counterevidence_loss,domain,False,1,2,1.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_02fa37b3926f1ee9,contextual_flattening,domain,True,1,2,1.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_0d75310cb7e660a8,contextual_flattening,domain,True,1,2,1.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_148310a7a26d58a5,unsupported_evidence,domain,True,1,2,1.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_186a2a64e1a2ca1d,unsupported_abstraction,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_19696515db5ec8da,unsupported_evidence,domain,False,1,2,1.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_199c2142456372cd,counterevidence_loss,domain,False,1,2,1.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_204f2168f98db763,unsupported_abstraction,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_2b0b2bb8e6e6b39f,source_concentration,domain,False,1,2,1.0,expected_gain_below_threshold,True,False
llama3.1:8b,PKT_32ce9f57605dc6ea,source_concentration,domain,False,1,2,1.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_000374ae8904b116,counterevidence_loss,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_02fa37b3926f1ee9,contextual_flattening,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_0d75310cb7e660a8,contextual_flattening,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_148310a7a26d58a5,unsupported_evidence,generalist,False,0,1,0.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_186a2a64e1a2ca1d,unsupported_abstraction,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_19696515db5ec8da,unsupported_evidence,generalist,False,0,1,0.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_199c2142456372cd,counterevidence_loss,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_204f2168f98db763,unsupported_abstraction,generalist,True,0,1,0.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_2b0b2bb8e6e6b39f,source_concentration,qualitative_methods,True,1,2,1.0,expected_gain_below_threshold,True,False
qwen3:8b,PKT_32ce9f57605dc6ea,source_concentration,qualitative_methods,True,1,2,1.0,expected_gain_below_threshold,True,False
