method,paper_facing_name,model_id,tp,n,recall,recall_wilson_95_low,recall_wilson_95_high,mean_specialist_acquisitions,mean_total_role_acquisitions,mean_incremental_cost,mean_total_role_cost,route_counts,stop_reason_counts,result_label,manuscript_eligible,dataset,corpus_id,evaluation_mode
WarrantLoop,WarrantRoute-S,gemma3:4b,81,100,0.81,0.7222115462093562,0.8748524849023126,0.38,1.38,0.38,0.38,"{""generalist"": 62, ""qualitative_methods"": 38}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop,WarrantRoute-S,llama3.1:8b,35,100,0.35,0.26364248243097527,0.44745556703112027,0.64,1.64,0.64,0.64,"{""domain"": 64, ""generalist"": 36}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop,WarrantRoute-S,qwen3:8b,75,100,0.75,0.656955364519384,0.8245478863771232,0.63,1.63,0.63,0.63,"{""generalist"": 37, ""qualitative_methods"": 63}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop,WarrantRoute-S,gemma3:4b,73,100,0.73,0.6356788323205499,0.8073041585042365,0.17,1.17,0.17,0.17,"{""generalist"": 83, ""qualitative_methods"": 17}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop,WarrantRoute-S,llama3.1:8b,71,100,0.71,0.6146110882442888,0.7898516425087772,0.38,1.38,0.38,0.38,"{""domain"": 38, ""generalist"": 62}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop,WarrantRoute-S,qwen3:8b,75,100,0.75,0.656955364519384,0.8245478863771232,0.02,1.02,0.02,0.02,"{""generalist"": 98, ""qualitative_methods"": 2}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop,WarrantRoute-S,gemma3:4b,65,100,0.65,0.5525444329688796,0.7363575175690247,0.32,1.32,0.32,0.32,"{""generalist"": 68, ""qualitative_methods"": 32}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop,WarrantRoute-S,llama3.1:8b,41,100,0.41,0.3186731302113651,0.5079856994658921,0.73,1.73,0.73,0.73,"{""domain"": 73, ""generalist"": 27}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop,WarrantRoute-S,qwen3:8b,80,100,0.8,0.7111708344068411,0.8666330666689676,0.01,1.01,0.01,0.01,"{""generalist"": 99, ""qualitative_methods"": 1}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop,WarrantRoute-S,gemma3:4b,62,100,0.62,0.5220975529551107,0.7090240074752127,0.3,1.3,0.3,0.3,"{""generalist"": 70, ""qualitative_methods"": 30}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop,WarrantRoute-S,llama3.1:8b,39,100,0.39,0.3001687400639441,0.4879698295415926,0.73,1.73,0.73,0.73,"{""domain"": 73, ""generalist"": 27}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop,WarrantRoute-S,qwen3:8b,73,100,0.73,0.6356788323205499,0.8073041585042365,0.0,1.0,0.0,0.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
