Dataset,Method,Model,Planned,Completed,Valid_outputs,Quality_completed,Technical_failures,Loop_unresolved,Split,Blocked,credibility_T,credibility_F,credibility_U,credibility_technical,credibility_resolved_pct,credibility_binary_coverage_pct,credibility_observed_lower_pct,credibility_observed_upper_pct,credibility_pending,conformability_T,conformability_F,conformability_U,conformability_technical,conformability_resolved_pct,conformability_binary_coverage_pct,conformability_observed_lower_pct,conformability_observed_upper_pct,conformability_pending,coverage_T,coverage_F,coverage_U,coverage_technical,coverage_resolved_pct,coverage_binary_coverage_pct,coverage_observed_lower_pct,coverage_observed_upper_pct,coverage_pending,Calls,Generation_seconds,Judge_calls,Judge_input_tokens,Judge_output_tokens,Judge_seconds,Input_tokens,Output_tokens,Usage_incomplete
Dreaddit,generalist,qwen3:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,fixed_role,qwen3:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,all_roles,qwen3:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,warrantroute,qwen3:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,generalist,llama3.1:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,fixed_role,llama3.1:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,all_roles,llama3.1:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,warrantroute,llama3.1:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,generalist,gemma3:4b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,fixed_role,gemma3:4b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,all_roles,gemma3:4b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
Dreaddit,warrantroute,gemma3:4b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
GoEmotions,generalist,qwen3:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
GoEmotions,fixed_role,qwen3:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
GoEmotions,all_roles,qwen3:8b,100,0,0,0,0,0,source_disjoint,False,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,0,0
