Dataset,Checkpoint,Planned_N,Processed,Credibility_resolved_pct,Credibility_binary_n,Conformability_resolved_pct,Conformability_binary_n
Dreaddit,E0,5,0,,0,,0
Dreaddit,E1,5,0,,0,,0
Dreaddit,E2,5,0,,0,,0
Dreaddit,E3,5,0,,0,,0
GoEmotions,E0,5,0,,0,,0
GoEmotions,E1,5,0,,0,,0
GoEmotions,E2,5,0,,0,,0
GoEmotions,E3,5,0,,0,,0
CaChe,E0,5,0,,0,,0
CaChe,E1,5,0,,0,,0
CaChe,E2,5,0,,0,,0
CaChe,E3,5,0,,0,,0
ParlaMint-GB,E0,5,0,,0,,0
ParlaMint-GB,E1,5,0,,0,,0
ParlaMint-GB,E2,5,0,,0,,0
ParlaMint-GB,E3,5,0,,0,,0
