Dataset,Checkpoint,Planned_N,Processed,Credibility_resolved_pct,Credibility_binary_n,Conformability_resolved_pct,Conformability_binary_n
Dreaddit,E0,5,5,100.0,3,100.0,4
Dreaddit,E1,5,5,100.0,3,100.0,4
Dreaddit,E2,5,5,100.0,3,100.0,4
Dreaddit,E3,5,5,100.0,3,100.0,4
GoEmotions,E0,5,5,100.0,1,100.0,4
GoEmotions,E1,5,5,100.0,1,100.0,4
GoEmotions,E2,5,5,100.0,1,100.0,4
GoEmotions,E3,5,5,100.0,1,100.0,4
CaChe,E0,5,5,100.0,1,100.0,4
CaChe,E1,5,5,100.0,1,100.0,4
CaChe,E2,5,5,100.0,1,100.0,4
CaChe,E3,5,5,100.0,2,100.0,4
ParlaMint-GB,E0,5,5,100.0,5,100.0,5
ParlaMint-GB,E1,5,5,100.0,5,100.0,5
ParlaMint-GB,E2,5,5,100.0,5,100.0,5
ParlaMint-GB,E3,5,5,100.0,5,100.0,5
