epoch,packet_id,query_id,prediction_status,decision,reported_flaws_not_gold_verified,learning_status,added,refined,reinforced,withheld,memory_revision_after,learned_rule_prompt_inclusions,reported_applications,review_integrity_findings,rule_trace_integrity_findings
1,paragraph_d3bf5dc47ac98aac,development/dreaddit/E1/paragraph_d3bf5dc47ac98aac,valid,established_flaw,1,no_change,0,0,0,2,0,0,0,0,0
1,paragraph_af6643f2ccdacf9c,development/dreaddit/E1/paragraph_af6643f2ccdacf9c,valid,established_flaw,1,no_change,0,0,0,2,0,0,0,0,0
1,paragraph_c05b73fd4186cfe3,development/dreaddit/E1/paragraph_c05b73fd4186cfe3,valid,established_flaw,1,no_change,0,0,0,2,0,0,0,0,0
1,paragraph_65fc9eec620908a5,development/dreaddit/E1/paragraph_65fc9eec620908a5,valid,established_flaw,1,no_change,0,0,0,0,0,0,0,0,0
2,paragraph_af6643f2ccdacf9c,development/dreaddit/E2/paragraph_af6643f2ccdacf9c,valid,established_flaw,1,no_change,0,0,0,2,0,0,0,0,0
2,paragraph_c05b73fd4186cfe3,development/dreaddit/E2/paragraph_c05b73fd4186cfe3,valid,established_flaw,1,no_change,0,0,0,2,0,0,0,0,0
2,paragraph_d3bf5dc47ac98aac,development/dreaddit/E2/paragraph_d3bf5dc47ac98aac,valid,established_flaw,1,no_change,0,0,0,2,0,0,0,0,0
2,paragraph_65fc9eec620908a5,development/dreaddit/E2/paragraph_65fc9eec620908a5,valid,established_flaw,1,no_change,0,0,0,0,0,0,0,0,0
3,paragraph_c05b73fd4186cfe3,development/dreaddit/E3/paragraph_c05b73fd4186cfe3,valid,established_flaw,1,no_change,0,0,0,2,0,0,0,0,0
3,paragraph_65fc9eec620908a5,development/dreaddit/E3/paragraph_65fc9eec620908a5,valid,established_flaw,1,no_change,0,0,0,0,0,0,0,0,0
3,paragraph_d3bf5dc47ac98aac,development/dreaddit/E3/paragraph_d3bf5dc47ac98aac,valid,established_flaw,1,no_change,0,0,0,2,0,0,0,0,0
3,paragraph_af6643f2ccdacf9c,development/dreaddit/E3/paragraph_af6643f2ccdacf9c,valid,established_flaw,1,no_change,0,0,0,2,0,0,0,0,0
