epoch,packet_id,query_id,prediction_status,decision,reported_flaws_not_gold_verified,learning_status,added,refined,reinforced,withheld,memory_revision_after,learned_rule_prompt_inclusions,reported_applications,review_integrity_findings,rule_trace_integrity_findings
1,paragraph_d68884857f95e92e,development/dreaddit/E1/paragraph_d68884857f95e92e,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
1,paragraph_a7235269ba56e2d2,development/dreaddit/E1/paragraph_a7235269ba56e2d2,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
1,paragraph_1e8c2fd5725103df,development/dreaddit/E1/paragraph_1e8c2fd5725103df,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
1,paragraph_d195806dad2db2cf,development/dreaddit/E1/paragraph_d195806dad2db2cf,valid,no_flaw_established,1,no_change,0,0,0,0,1,1,1,1,0
2,paragraph_a7235269ba56e2d2,development/dreaddit/E2/paragraph_a7235269ba56e2d2,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
2,paragraph_d195806dad2db2cf,development/dreaddit/E2/paragraph_d195806dad2db2cf,valid,no_flaw_established,1,no_change,0,0,0,0,1,1,1,1,0
2,paragraph_1e8c2fd5725103df,development/dreaddit/E2/paragraph_1e8c2fd5725103df,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
2,paragraph_d68884857f95e92e,development/dreaddit/E2/paragraph_d68884857f95e92e,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
3,paragraph_d68884857f95e92e,development/dreaddit/E3/paragraph_d68884857f95e92e,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
3,paragraph_a7235269ba56e2d2,development/dreaddit/E3/paragraph_a7235269ba56e2d2,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
3,paragraph_1e8c2fd5725103df,development/dreaddit/E3/paragraph_1e8c2fd5725103df,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
3,paragraph_d195806dad2db2cf,development/dreaddit/E3/paragraph_d195806dad2db2cf,valid,no_flaw_established,1,no_change,0,0,0,0,1,1,1,1,0
