dataset,configuration,method,seed,n,tp,recall,recall_cluster_interval,source_components,mean_agent_calls,mean_input_tokens,mean_output_tokens,mean_wall_seconds,mean_revision_rounds,accepted_fraction,error_fraction,usage_complete,repair_quality,manuscript_eligible
cache,qwen_only,warrantroute,20260905,100,100,1.0,,1,7.05,26180.97,3567.9,152.60037435718172,2.0,0.0,0.0,True,,False
cache,llama_only,warrantroute,20260905,100,64,0.64,,1,6.03,19373.01,2224.46,88.79070821261499,2.0,0.0,0.0,True,,False
cache,gemma_only,warrantroute,20260905,100,55,0.55,,1,6.02,20162.95,1898.62,46.844517953394096,1.95,0.0,0.04,True,,False
dreaddit,qwen_only,warrantroute,20260905,100,99,0.99,"[0.97, 1.0]",100,6.3,22799.95,3149.25,130.2096693050198,2.0,0.0,0.0,True,,False
dreaddit,llama_only,warrantroute,20260905,100,68,0.68,"[0.59, 0.77]",100,6.0,18959.05,2143.66,82.926986438139,2.0,0.0,0.0,True,,False
dreaddit,gemma_only,warrantroute,20260905,100,42,0.42,"[0.33, 0.52]",100,6.24,20727.95,2139.91,50.38291717425338,1.98,0.0,0.02,False,,False
goemotions,qwen_only,warrantroute,20260905,100,100,1.0,"[1.0, 1.0]",100,6.06,19962.02,2879.4,114.44194172662915,2.0,0.0,0.0,True,,False
goemotions,llama_only,warrantroute,20260905,100,63,0.63,"[0.53, 0.72]",100,6.0,17210.96,2122.81,78.94583083713427,2.0,0.0,0.0,True,,False
goemotions,gemma_only,warrantroute,20260905,100,47,0.47,"[0.37, 0.57]",100,7.1,21311.05,2181.71,50.697793679235616,1.99,0.0,0.01,False,,False
parlamint-gb,qwen_only,warrantroute,20260905,100,100,1.0,"[1.0, 1.0]",85,6.6,27343.37,3260.05,152.45752491953607,2.0,0.0,0.0,True,,False
parlamint-gb,llama_only,warrantroute,20260905,100,67,0.67,"[0.5698924731182796, 0.7708333333333334]",85,6.06,22311.21,2256.48,99.04333852071665,2.0,0.0,0.0,True,,False
parlamint-gb,gemma_only,warrantroute,20260905,100,50,0.5,"[0.3979591836734694, 0.6041666666666666]",85,5.92,22627.49,1954.89,68.08306192613439,1.96,0.0,0.03,True,,False
