observation_id,item_id,role,target_flaw,required_flag,detected,observation_status
OBS_401a9a7610f11bcc,DJI_f11fdbbbc7f7c4aa,generalist,unsupported_evidence,unsupported_inference,False,terminal_error
OBS_874d1a84b07160a5,DJI_f11fdbbbc7f7c4aa,methods,unsupported_evidence,unsupported_inference,False,terminal_error
OBS_b26e35beb555643d,DJI_f11fdbbbc7f7c4aa,domain,unsupported_evidence,unsupported_inference,False,terminal_error
OBS_6218b7146d868092,DJI_9ae1cc99dcd1a3c6,generalist,source_concentration,hidden_source_concentration,False,terminal_error
OBS_1598a8381063aff1,DJI_9ae1cc99dcd1a3c6,methods,source_concentration,hidden_source_concentration,False,terminal_error
OBS_e514c85ff2171740,DJI_9ae1cc99dcd1a3c6,domain,source_concentration,hidden_source_concentration,False,terminal_error
OBS_01dcd59c09fa6e17,DJI_15fcdc773e55a700,generalist,counterevidence_loss,lost_negative_case,False,terminal_error
OBS_b4e7557cb0d21c77,DJI_15fcdc773e55a700,methods,counterevidence_loss,lost_negative_case,False,terminal_error
OBS_a3ec08c40c8bca95,DJI_15fcdc773e55a700,domain,counterevidence_loss,lost_negative_case,False,terminal_error
OBS_eb8a318460743d2d,DJI_58ab7c386bcc2536,generalist,contextual_flattening,contextual_flattening,False,terminal_error
OBS_5ca87db6aa2a91fc,DJI_58ab7c386bcc2536,methods,contextual_flattening,contextual_flattening,False,terminal_error
OBS_186af9de42ff8498,DJI_58ab7c386bcc2536,domain,contextual_flattening,contextual_flattening,False,terminal_error
OBS_ccf0facfe986562a,DJI_9548a775aa26100c,generalist,unsupported_abstraction,unsupported_abstraction,False,terminal_error
OBS_ee2e5b0fb9d35766,DJI_9548a775aa26100c,methods,unsupported_abstraction,unsupported_abstraction,False,terminal_error
OBS_9ef8e2a666814805,DJI_9548a775aa26100c,domain,unsupported_abstraction,unsupported_abstraction,False,terminal_error
