assignment_id,actor_id,actor_kind,rating_repetition,sequence,item_id,item_payload_sha256,interface_version,shared_rater_guide_version,shared_rater_guide_sha256,semantic_input_sha256,packet_id,output_id,corpus_id,evaluation_role
DJA_0285f69111dfb4e0,charlie,human,1,1,DJI_5831c8291b65adb9,b26e17932d4e94962285db954f8ed5d06ef171ae8cc2d8bc9e51182c3421ceda,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,11bedbd3673c34b66354be1559195475f46a1df8ab354ebf040bbb431a4e65a2,DJP_5831c8291b65adb9,DJO_920399584d6cd783,synthetic_proxy,synthetic_qualification
DJA_fa30e9e714c4cd60,charlie,human,1,2,DJI_25bb2940d78a959d,92e9e43d80ac3c83f9c79bba29c400c0b8e0fc9516a5374c491003e5f8372620,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,87f59828d91504fa42592f16fd9350ee12513a48b5f604f9d788bafe64024feb,DJP_25bb2940d78a959d,DJO_2969ff7c3dc38047,synthetic_proxy,synthetic_qualification
DJA_f83b9b4b89b1ee75,charlie,human,1,3,DJI_e869b8db9ec44e87,bc105b3e15cb29e94a03ea082aa4b6f6604509010b739de520e078150b0b2bbb,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,5daa1b2f4cd0dd1ee62462fcb42084ecd5055fa151b1565f62712d90a7e61207,DJP_e869b8db9ec44e87,DJO_fdacb99826c28c68,synthetic_proxy,synthetic_qualification
DJA_cf0c7e6f8398b068,charlie,human,1,4,DJI_182867ba6d054a6e,e5cba4ac9484e8773113e16151d040af704d6d6b906eb1e51c7674c2090d029e,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,364cd90d286ae24a3dd5e2b72a1c6a9c7eae7df8ec109c19151aaf6e5d352825,DJP_182867ba6d054a6e,DJO_80a80e9a070aac88,synthetic_proxy,synthetic_qualification
DJA_3f8eb292901079c2,charlie,human,1,5,DJI_1aecead673a9bce7,77dcb6d82c177c048778d9dbb10a7962ad011bf0a557ad54a6d8711b2006e518,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,76eb82c4af592008a94b8f9428ad8fff94f08e931795e433e02b1daebe3ab2bf,DJP_1aecead673a9bce7,DJO_0bf91643617e75f6,synthetic_proxy,synthetic_qualification
DJA_3e2d56d7728774bc,charlie,human,1,6,DJI_e8d915eb23ac2926,50bd3e2e63fd2ff4014641559eaf4368c2976cae97cd04a405dec02940dbdc17,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,2e0c0314b839d80e3c454a6869683e6d9c923e2a360eb882cffa9bbf3a6bedde,DJP_e8d915eb23ac2926,DJO_19cb3c3a6ef9cff4,synthetic_proxy,synthetic_qualification
DJA_6092e0a5b8a6c03a,charlie,human,1,7,DJI_7bbafe9eee1c1abc,5ee77f60283e0a0231684ff59e9450e65065d33e8e1c806a5a9e6ccfe0de358b,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,807ba5d9c501b6fcbaee445faa03fb9765a421179646d7b3a530ba64cc6d68f7,DJP_7bbafe9eee1c1abc,DJO_e75f7efa111a3229,synthetic_proxy,synthetic_qualification
DJA_663242f4a9a4d2c3,charlie,human,1,8,DJI_3a0d02fda0287ffe,4edc8e5697e743768ab3c6e38149c382cb6b37a0bef30da367b416e52a3903aa,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,162958edd525fe387183dac498583ab07b45f2003afb9e66fe2d8b10e20e87dc,DJP_3a0d02fda0287ffe,DJO_bc92d057ee323b3d,synthetic_proxy,synthetic_qualification
DJA_a77551d7bdd66e90,charlie,human,1,9,DJI_2f879f0b0ab77dbf,f0aaaaec061e72222fb658b7768ade09742ee2594123f50bfd7f2826699a2654,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,558c14a446306cc67a5bc6114dd7e09efa37f3b8a22992668af1864a41fa88a1,DJP_2f879f0b0ab77dbf,DJO_116cc3b0d3493428,synthetic_proxy,synthetic_qualification
DJA_ae82bda91144118b,charlie,human,1,10,DJI_23d76b41348df92f,3ec0139befa0cba647d5b0adba2dd54cea3a829de992a32b55531ab9fc1d0794,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,4ba3643d4c04b609b4547007a75e44613eb8d297bcb8786c648c8342cb020bdf,DJP_23d76b41348df92f,DJO_30b0df98e4d02972,synthetic_proxy,synthetic_qualification
