source_file,line_number,model_id,run_index,packet_id,schema_valid,schema_error_count,issue_count,hard_gate_pass,code_count,theme_count,assignment_count,assignment_completeness,code_reference_validity,citation_count,exact_quote_rate,source_id_validity,attribution_validity,cited_excerpt_coverage,cited_source_coverage,theme_multi_source_rate,mean_theme_source_count,mean_theme_source_concentration,theme_source_list_exact_rate,counterevidence_count,negative_case_count,broad_claim_term_count
gpt-5.4_run1.jsonl,1,gpt-5.4,1,syn_dreaddit_01,1,0,4,1,7,4,12,1.0,1.0,37,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,1.0,3.5,0.29166666666666663,0.0,6,3,0
gpt-5.4_run1.jsonl,2,gpt-5.4,1,syn_agyw_01,1,0,1,1,7,4,12,1.0,1.0,37,1.0,1.0,1.0,1.0,1.0,1.0,3.25,0.45416666666666666,0.75,5,3,0
gpt-5.4_run1.jsonl,3,gpt-5.4,1,syn_kodis_01,1,0,2,0,7,4,12,1.0,1.0,35,0.9714285714285714,1.0,1.0,0.9166666666666666,1.0,0.75,2.25,0.5833333333333334,1.0,5,3,0
gpt-5.4_run1.jsonl,4,gpt-5.4,1,syn_candor_01,1,0,0,1,7,3,12,1.0,1.0,28,1.0,1.0,1.0,1.0,1.0,1.0,2.3333333333333335,0.4777777777777778,1.0,3,3,0
gpt-5.4_run2.jsonl,1,gpt-5.4,2,syn_dreaddit_01,1,0,3,1,7,3,12,1.0,1.0,30,1.0,1.0,1.0,1.0,1.0,1.0,3.6666666666666665,0.27777777777777773,0.0,4,2,0
gpt-5.4_run2.jsonl,2,gpt-5.4,2,syn_agyw_01,1,0,2,1,7,3,12,1.0,1.0,32,1.0,1.0,1.0,1.0,1.0,1.0,3.6666666666666665,0.3333333333333333,0.3333333333333333,4,2,0
gpt-5.4_run2.jsonl,3,gpt-5.4,2,syn_kodis_01,1,0,1,0,7,3,12,1.0,1.0,32,1.0,1.0,1.0,0.9166666666666666,1.0,0.6666666666666666,2.0,0.6333333333333333,1.0,5,2,0
gpt-5.4_run2.jsonl,4,gpt-5.4,2,syn_candor_01,1,0,0,1,7,3,12,1.0,1.0,29,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,2.0,0.5,1.0,3,2,0
gpt-5.4_run3.jsonl,1,gpt-5.4,3,syn_dreaddit_01,1,0,0,1,7,3,12,1.0,1.0,32,1.0,1.0,1.0,1.0,1.0,1.0,3.3333333333333335,0.3611111111111111,1.0,5,2,0
gpt-5.4_run3.jsonl,2,gpt-5.4,3,syn_agyw_01,1,0,0,1,7,3,12,1.0,1.0,30,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,2.6666666666666665,0.5,1.0,4,2,0
gpt-5.4_run3.jsonl,3,gpt-5.4,3,syn_kodis_01,1,0,1,0,6,3,12,1.0,1.0,29,1.0,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,1.6666666666666667,0.7222222222222222,1.0,5,2,0
gpt-5.4_run3.jsonl,4,gpt-5.4,3,syn_candor_01,1,0,0,1,7,3,12,1.0,1.0,27,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,2.3333333333333335,0.5,1.0,3,2,1
gpt-5.5_run1.jsonl,1,gpt-5.5,1,syn_dreaddit_01,1,0,0,1,7,3,12,1.0,1.0,36,1.0,1.0,1.0,1.0,1.0,1.0,3.6666666666666665,0.3333333333333333,1.0,3,3,0
gpt-5.5_run1.jsonl,2,gpt-5.5,1,syn_agyw_01,1,0,0,1,7,3,12,1.0,1.0,37,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.31666666666666665,1.0,3,3,0
gpt-5.5_run1.jsonl,3,gpt-5.5,1,syn_kodis_01,1,0,1,0,7,3,12,1.0,1.0,39,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,2.0,0.7000000000000001,1.0,3,3,0
gpt-5.5_run1.jsonl,4,gpt-5.5,1,syn_candor_01,1,0,0,1,7,3,12,1.0,1.0,35,1.0,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,0.45,1.0,3,3,0
gpt-5.5_run2.jsonl,1,gpt-5.5,2,syn_dreaddit_01,1,0,2,1,6,2,12,1.0,1.0,22,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,1.0,3.0,0.3333333333333333,0.0,2,2,0
gpt-5.5_run2.jsonl,2,gpt-5.5,2,syn_agyw_01,1,0,0,1,6,2,12,1.0,1.0,23,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,3.5,0.29166666666666663,1.0,2,2,0
gpt-5.5_run2.jsonl,3,gpt-5.5,2,syn_kodis_01,1,0,3,0,6,3,12,1.0,1.0,26,1.0,1.0,1.0,0.9166666666666666,1.0,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,3,2,0
gpt-5.5_run2.jsonl,4,gpt-5.5,2,syn_candor_01,1,0,0,1,6,3,12,1.0,1.0,26,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,2.3333333333333335,0.5,1.0,3,2,1
gpt-5.5_run3.jsonl,1,gpt-5.5,3,syn_dreaddit_01,1,0,0,1,7,3,12,1.0,1.0,30,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,1.0,3.0,0.3333333333333333,1.0,3,3,0
gpt-5.5_run3.jsonl,2,gpt-5.5,3,syn_agyw_01,1,0,0,1,7,3,12,1.0,1.0,33,1.0,1.0,1.0,1.0,1.0,1.0,2.3333333333333335,0.611111111111111,1.0,3,3,0
gpt-5.5_run3.jsonl,3,gpt-5.5,3,syn_kodis_01,1,0,1,0,7,3,12,1.0,1.0,37,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.6666666666666667,0.7222222222222222,1.0,3,3,0
gpt-5.5_run3.jsonl,4,gpt-5.5,3,syn_candor_01,1,0,0,1,7,3,12,1.0,1.0,31,1.0,1.0,1.0,1.0,1.0,1.0,2.3333333333333335,0.5555555555555555,1.0,3,3,0
gpt-5.6-luna_run1.jsonl,1,gpt-5.6-luna,1,syn_dreaddit_01,1,0,2,1,7,2,12,1.0,1.0,16,1.0,1.0,1.0,0.75,0.75,1.0,2.0,0.5,0.0,2,3,1
gpt-5.6-luna_run1.jsonl,2,gpt-5.6-luna,1,syn_agyw_01,1,0,2,1,7,2,12,1.0,1.0,16,1.0,1.0,1.0,0.9166666666666666,0.875,1.0,2.0,0.5,0.0,2,3,0
gpt-5.6-luna_run1.jsonl,3,gpt-5.6-luna,1,syn_kodis_01,1,0,2,0,7,2,12,1.0,1.0,16,1.0,1.0,1.0,0.8333333333333334,1.0,0.5,1.5,0.75,0.5,2,3,0
gpt-5.6-luna_run1.jsonl,4,gpt-5.6-luna,1,syn_candor_01,1,0,0,1,7,2,12,1.0,1.0,16,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,2.0,0.5,1.0,2,3,0
gpt-5.6-luna_run2.jsonl,1,gpt-5.6-luna,2,syn_dreaddit_01,1,0,0,1,6,2,12,1.0,1.0,14,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,2.0,0.5,1.0,2,2,0
gpt-5.6-luna_run2.jsonl,2,gpt-5.6-luna,2,syn_agyw_01,1,0,0,1,5,2,12,1.0,1.0,13,1.0,1.0,1.0,0.75,0.875,1.0,2.0,0.5,1.0,2,2,0
gpt-5.6-luna_run2.jsonl,3,gpt-5.6-luna,2,syn_kodis_01,1,0,1,0,5,2,12,1.0,1.0,13,1.0,1.0,1.0,0.75,1.0,0.5,1.5,0.75,1.0,2,2,0
gpt-5.6-luna_run2.jsonl,4,gpt-5.6-luna,2,syn_candor_01,1,0,0,1,5,2,12,1.0,1.0,13,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,2.0,0.5,1.0,2,2,0
gpt-5.6-luna_run3.jsonl,1,gpt-5.6-luna,3,syn_dreaddit_01,1,0,0,1,6,2,12,1.0,1.0,14,1.0,1.0,1.0,0.75,0.75,1.0,2.0,0.5,1.0,2,2,1
gpt-5.6-luna_run3.jsonl,2,gpt-5.6-luna,3,syn_agyw_01,1,0,5,0,6,2,12,1.0,1.0,14,1.0,1.0,0.7142857142857143,0.8333333333333334,0.875,1.0,2.0,0.5,0.5,2,2,0
gpt-5.6-luna_run3.jsonl,3,gpt-5.6-luna,3,syn_kodis_01,1,0,2,0,6,2,12,1.0,1.0,14,1.0,1.0,1.0,0.75,1.0,0.5,1.5,0.75,0.5,2,2,0
gpt-5.6-luna_run3.jsonl,4,gpt-5.6-luna,3,syn_candor_01,1,0,0,1,6,2,12,1.0,1.0,14,1.0,1.0,1.0,0.75,1.0,1.0,2.0,0.5,1.0,2,2,0
gpt-5.6-sol_run1.jsonl,1,gpt-5.6-sol,1,syn_dreaddit_01,1,0,0,1,6,2,12,1.0,1.0,25,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.25,1.0,2,3,1
gpt-5.6-sol_run1.jsonl,2,gpt-5.6-sol,1,syn_agyw_01,1,0,0,1,7,3,12,1.0,1.0,31,1.0,1.0,1.0,1.0,1.0,1.0,3.6666666666666665,0.27777777777777773,1.0,3,3,0
gpt-5.6-sol_run1.jsonl,3,gpt-5.6-sol,1,syn_kodis_01,1,0,1,0,6,2,12,1.0,1.0,24,1.0,1.0,1.0,0.8333333333333334,1.0,0.5,2.0,0.75,1.0,2,3,0
gpt-5.6-sol_run1.jsonl,4,gpt-5.6-sol,1,syn_candor_01,1,0,0,1,7,2,12,1.0,1.0,26,1.0,1.0,1.0,1.0,1.0,1.0,2.5,0.5,1.0,2,3,0
gpt-5.6-sol_run2.jsonl,1,gpt-5.6-sol,2,syn_dreaddit_01,1,0,0,1,6,2,12,1.0,1.0,21,1.0,1.0,1.0,1.0,1.0,1.0,3.5,0.29166666666666663,1.0,2,3,0
gpt-5.6-sol_run2.jsonl,2,gpt-5.6-sol,2,syn_agyw_01,1,0,0,1,6,2,12,1.0,1.0,23,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.25,1.0,3,3,0
gpt-5.6-sol_run2.jsonl,3,gpt-5.6-sol,2,syn_kodis_01,1,0,1,0,6,2,12,1.0,1.0,18,1.0,1.0,1.0,0.8333333333333334,1.0,0.5,2.0,0.75,1.0,2,2,0
gpt-5.6-sol_run2.jsonl,4,gpt-5.6-sol,2,syn_candor_01,1,0,0,1,6,2,12,1.0,1.0,21,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,2.0,0.5,1.0,2,2,1
gpt-5.6-sol_run3.jsonl,1,gpt-5.6-sol,3,syn_dreaddit_01,1,0,0,1,6,2,12,1.0,1.0,21,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,1.0,2,3,0
gpt-5.6-sol_run3.jsonl,2,gpt-5.6-sol,3,syn_agyw_01,1,0,0,1,6,2,12,1.0,1.0,22,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,3.5,0.29166666666666663,1.0,2,3,0
gpt-5.6-sol_run3.jsonl,3,gpt-5.6-sol,3,syn_kodis_01,1,0,0,1,6,2,12,1.0,1.0,21,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,3.0,0.3333333333333333,1.0,2,3,0
gpt-5.6-sol_run3.jsonl,4,gpt-5.6-sol,3,syn_candor_01,1,0,0,1,6,2,12,1.0,1.0,23,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5833333333333333,1.0,2,3,0
gpt-5.6-terra_run1.jsonl,1,gpt-5.6-terra,1,syn_dreaddit_01,1,0,3,1,7,3,12,1.0,1.0,27,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,1.0,2.6666666666666665,0.38888888888888884,0.0,3,2,0
gpt-5.6-terra_run1.jsonl,2,gpt-5.6-terra,1,syn_agyw_01,1,0,2,0,7,3,12,1.0,1.0,26,1.0,1.0,1.0,0.9166666666666666,1.0,0.6666666666666666,2.3333333333333335,0.5555555555555555,0.6666666666666666,3,2,1
gpt-5.6-terra_run1.jsonl,3,gpt-5.6-terra,1,syn_kodis_01,1,0,3,0,7,3,12,1.0,1.0,27,1.0,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,3,2,0
gpt-5.6-terra_run1.jsonl,4,gpt-5.6-terra,1,syn_candor_01,1,0,1,0,7,3,12,1.0,1.0,28,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.6666666666666667,0.7222222222222222,1.0,3,2,0
gpt-5.6-terra_run2.jsonl,1,gpt-5.6-terra,2,syn_dreaddit_01,1,0,2,1,6,2,12,1.0,1.0,14,1.0,1.0,1.0,0.75,0.75,1.0,2.0,0.5,0.0,2,2,0
gpt-5.6-terra_run2.jsonl,2,gpt-5.6-terra,2,syn_agyw_01,1,0,1,1,6,2,12,1.0,1.0,14,1.0,1.0,1.0,0.8333333333333334,0.875,1.0,2.0,0.5,0.5,2,2,0
gpt-5.6-terra_run2.jsonl,3,gpt-5.6-terra,2,syn_kodis_01,1,0,2,0,6,2,12,1.0,1.0,14,1.0,1.0,1.0,0.75,1.0,0.5,1.5,0.75,0.5,2,2,0
gpt-5.6-terra_run2.jsonl,4,gpt-5.6-terra,2,syn_candor_01,1,0,0,1,6,2,12,1.0,1.0,14,1.0,1.0,1.0,0.75,1.0,1.0,2.0,0.5,1.0,2,2,0
gpt-5.6-terra_run3.jsonl,1,gpt-5.6-terra,3,syn_dreaddit_01,1,0,1,1,7,3,12,1.0,1.0,18,1.0,1.0,1.0,0.75,0.75,1.0,2.0,0.5,0.6666666666666666,3,2,0
gpt-5.6-terra_run3.jsonl,2,gpt-5.6-terra,3,syn_agyw_01,1,0,2,0,7,3,12,1.0,1.0,18,1.0,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,3,2,0
gpt-5.6-terra_run3.jsonl,3,gpt-5.6-terra,3,syn_kodis_01,1,0,1,0,7,3,12,1.0,1.0,18,1.0,1.0,1.0,0.75,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,3,2,0
gpt-5.6-terra_run3.jsonl,4,gpt-5.6-terra,3,syn_candor_01,1,0,1,0,7,3,12,1.0,1.0,18,1.0,1.0,1.0,0.9166666666666666,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,3,2,0
