role,country,dyads,share
buyer,United States of America,923,0.44460500963391136
buyer,United Kingdom of Great Britain and Northern Ireland,251,0.12090558766859345
buyer,Canada,228,0.10982658959537572
buyer,Mexico,174,0.0838150289017341
buyer,South Africa,142,0.06840077071290944
buyer,Portugal,47,0.022639691714836225
buyer,Poland,34,0.016377649325626204
buyer,Netherlands,28,0.01348747591522158
buyer,Turkey,26,0.012524084778420038
buyer,Italy,23,0.011078998073217727
buyer,missing,22,0.010597302504816955
buyer,France,22,0.010597302504816955
buyer,Germany,19,0.009152215799614644
buyer,Spain,14,0.00674373795761079
buyer,Nigeria,11,0.0052986512524084775
buyer,India,10,0.004816955684007707
buyer,Zimbabwe,9,0.004335260115606936
buyer,Greece,9,0.004335260115606936
buyer,Belgium,8,0.0038535645472061657
buyer,Hungary,6,0.002890173410404624
buyer,Chile,5,0.0024084778420038534
buyer,Sweden,4,0.0019267822736030828
buyer,Romania,4,0.0019267822736030828
buyer,Brazil,4,0.0019267822736030828
buyer,Philippines,4,0.0019267822736030828
buyer,Lebanon,3,0.001445086705202312
buyer,New Zealand,3,0.001445086705202312
buyer,Kenya,3,0.001445086705202312
buyer,Sri Lanka,3,0.001445086705202312
buyer,Pakistan,2,0.0009633911368015414
buyer,Slovenia,2,0.0009633911368015414
buyer,Australia,2,0.0009633911368015414
buyer,Serbia,2,0.0009633911368015414
buyer,China,2,0.0009633911368015414
buyer,Viet Nam,2,0.0009633911368015414
buyer,Cameroon,1,0.0004816955684007707
buyer,"Venezuela, Bolivarian Republic of...",1,0.0004816955684007707
buyer,Ireland,1,0.0004816955684007707
buyer,Israel,1,0.0004816955684007707
buyer,Trinidad and Tobago,1,0.0004816955684007707
buyer,Finland,1,0.0004816955684007707
buyer,United Arab Emirates,1,0.0004816955684007707
buyer,Latvia,1,0.0004816955684007707
buyer,Singapore,1,0.0004816955684007707
buyer,Malaysia,1,0.0004816955684007707
buyer,Ghana,1,0.0004816955684007707
buyer,Japan,1,0.0004816955684007707
buyer,Bolivia,1,0.0004816955684007707
buyer,Bulgaria,1,0.0004816955684007707
buyer,Hong Kong (S.A.R.),1,0.0004816955684007707
buyer,Bangladesh,1,0.0004816955684007707
buyer,Slovakia,1,0.0004816955684007707
buyer,The former Yugoslav Republic of Macedonia,1,0.0004816955684007707
buyer,Indonesia,1,0.0004816955684007707
buyer,Nepal,1,0.0004816955684007707
buyer,Ecuador,1,0.0004816955684007707
buyer,Luxembourg,1,0.0004816955684007707
buyer,Ukraine,1,0.0004816955684007707
buyer,Panama,1,0.0004816955684007707
buyer,Switzerland,1,0.0004816955684007707
seller,United States of America,936,0.4508670520231214
seller,United Kingdom of Great Britain and Northern Ireland,268,0.12909441233140656
seller,Canada,210,0.10115606936416185
seller,South Africa,160,0.07707129094412331
seller,Mexico,158,0.07610789980732177
seller,Portugal,47,0.022639691714836225
seller,Poland,33,0.015895953757225433
seller,Netherlands,25,0.012042389210019268
seller,missing,22,0.010597302504816955
seller,Turkey,22,0.010597302504816955
seller,France,21,0.010115606936416185
seller,Nigeria,21,0.010115606936416185
seller,Italy,16,0.007707129094412331
seller,Germany,16,0.007707129094412331
seller,Sweden,12,0.005780346820809248
seller,Greece,11,0.0052986512524084775
seller,Spain,8,0.0038535645472061657
seller,India,7,0.003371868978805395
seller,Hungary,5,0.0024084778420038534
seller,Chile,5,0.0024084778420038534
seller,Zimbabwe,5,0.0024084778420038534
seller,Philippines,5,0.0024084778420038534
seller,China,5,0.0024084778420038534
seller,Brazil,4,0.0019267822736030828
seller,Pakistan,4,0.0019267822736030828
seller,Ireland,3,0.001445086705202312
seller,Romania,3,0.001445086705202312
seller,Czech Republic,3,0.001445086705202312
seller,Slovenia,3,0.001445086705202312
seller,Finland,2,0.0009633911368015414
seller,Zambia,2,0.0009633911368015414
seller,Russian Federation,2,0.0009633911368015414
seller,Afghanistan,2,0.0009633911368015414
seller,Bangladesh,2,0.0009633911368015414
seller,Australia,1,0.0004816955684007707
seller,Egypt,1,0.0004816955684007707
seller,United Arab Emirates,1,0.0004816955684007707
seller,Austria,1,0.0004816955684007707
seller,Nicaragua,1,0.0004816955684007707
seller,Estonia,1,0.0004816955684007707
seller,Latvia,1,0.0004816955684007707
seller,Serbia,1,0.0004816955684007707
seller,Lebanon,1,0.0004816955684007707
seller,Bulgaria,1,0.0004816955684007707
seller,United Republic of Tanzania,1,0.0004816955684007707
seller,Algeria,1,0.0004816955684007707
seller,Belgium,1,0.0004816955684007707
seller,Sri Lanka,1,0.0004816955684007707
seller,Tunisia,1,0.0004816955684007707
seller,Slovakia,1,0.0004816955684007707
seller,Saudi Arabia,1,0.0004816955684007707
seller,New Zealand,1,0.0004816955684007707
seller,Guyana,1,0.0004816955684007707
seller,Nepal,1,0.0004816955684007707
seller,South Korea,1,0.0004816955684007707
seller,Viet Nam,1,0.0004816955684007707
seller,Argentina,1,0.0004816955684007707
seller,Hong Kong (S.A.R.),1,0.0004816955684007707
seller,Kenya,1,0.0004816955684007707
seller,Ghana,1,0.0004816955684007707
seller,Botswana,1,0.0004816955684007707
seller,Democratic Republic of the Congo,1,0.0004816955684007707
