paper_id,title,year,venue,peer_review_status,doi,url,reason
morris_2023_embeddings,Text Embeddings Reveal (Almost) As Much As Text,2023,EMNLP 2023:12448-12460.,not reported,10.18653/v1/2023.emnlp-main.765,https://aclanthology.org/2023.emnlp-main.765/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
kondo_2024_mixed_methods_chatgpt,A mixed-methods study comparing human-led and ChatGPT-driven qualitative analysis in medical education research,2024,"Nagoya Journal of Medical Science 86(4), 620–644",peer reviewed,10.18999/nagjms.86.4.620,https://pubmed.ncbi.nlm.nih.gov/39780933/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
mannstadt_2024_arthroplasty,A Novel Approach for Mixed-Methods Research Using Large Language Models: A Report Using Patients' Perspectives on Barriers to Arthroplasty,2024,"ACR Open Rheumatology 6(6), 375–379",peer reviewed,10.1002/acr2.11662,https://pmc.ncbi.nlm.nih.gov/articles/PMC11168905/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
bijker_2024_content_analysis,ChatGPT for Automated Qualitative Research: Content Analysis,2024,Journal of Medical Internet Research. 2024;26:e59050.,not reported,10.2196/59050,https://www.jmir.org/2024/1/e59050,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
li_2024_gpt4_human,Comparing GPT-4 and Human Researchers in Health Care Data Analysis: Qualitative Description Study,2024,Journal of Medical Internet Research. 2024;26:e56500.,not reported,10.2196/56500,https://www.jmir.org/2024/1/e56500,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
prescott_2024_genai_human,Comparing the Efficacy and Efficiency of Human and Generative AI: Qualitative Thematic Analyses,2024,JMIR AI. 2024;3:e54482.,not reported,10.2196/54482,https://ai.jmir.org/2024/1/e54482,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
depaoli_2024_further_explorations,"Further Explorations on the Use of Large Language Models for Thematic Analysis: Open-Ended Prompts, Better Terminologies and Thematic Maps",2024,"Forum Qualitative Sozialforschung / Forum: Qualitative Social Research, 25(3), Article 5",peer reviewed,10.17169/fqs-25.3.4196,https://www.qualitative-research.net/index.php/fqs/article/view/4196,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
mathis_2024_open_source,Inductive thematic analysis of healthcare qualitative interviews using open-source large language models: How does it compare to traditional methods? Computer Methods and Programs in Biomedicine,2024,2024;255:108356.,not reported,10.1016/j.cmpb.2024.108356,https://www.sciencedirect.com/science/article/pii/S0169260724003493,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
deng_2024_contamination,Investigating Data Contamination in Modern Benchmarks for Large Language Models,2024,NAACL 2024.,not reported,10.18653/v1/2024.naacl-long.482,https://aclanthology.org/2024.naacl-long.482/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
wang_2024_order_bias,Large Language Models are not Fair Evaluators,2024,ACL 2024,not reported,10.18653/v1/2024.acl-long.511,https://aclanthology.org/2024.acl-long.511/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
balloccu_2024_leak_cheat_repeat,"Leak, Cheat, Repeat: Data Contamination and Evaluation Malpractices in Closed-Source LLMs",2024,EACL 2024.,not reported,10.18653/v1/2024.eacl-long.5,https://aclanthology.org/2024.eacl-long.5/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
liu_2024_lost_middle,Lost in the Middle: How Language Models Use Long Contexts,2024,Transactions of the ACL. 2024;12:157-173.,not reported,10.1162/tacl_a_00638,https://aclanthology.org/2024.tacl-1.9/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
kowalski_2024_parrqa,Practical guidance for using a rapid qualitative approach in implementation research and evaluation (PARRQA),2024,"Implementation Science, 19, 71.",peer reviewed,10.1186/s13012-024-01397-1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11468362/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
